"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"IGRO","iShares International Dividend Growth ETF","ETF","--","--","--","No","0.15%","0.15%","05/17/2016","+17.96%","+11.93%","--","+7.81%","+17.86%","+12.11%","--","+7.91%","04/30/2025","+10.11%","+12.53%","--","+7.39%","+10.06%","+12.76%","--","+7.52%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"EMCR","Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF","ETF","--","--","--","Yes","0.15%","0.15%","12/04/2018","+11.34%","+7.91%","--","+5.75%","+11.35%","+7.91%","--","+5.65%","04/30/2025","+10.54%","+9.32%","--","+5.66%","+10.96%","+9.36%","--","+5.67%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"IQSI","NYLI Candriam International Equity ETF","ETF","--","--","--","Yes","0.15%","0.16%","12/17/2019","+11.63%","+11.44%","--","+7.09%","+12.31%","+11.50%","--","+6.98%","04/30/2025","+3.24%","+11.67%","--","+6.16%","+3.73%","+11.87%","--","+6.23%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"BBEM","JPMorgan Betabuilders Emerging Markets Equity ETF","ETF","--","--","--","No","0.15%","0.15%","05/10/2023","+8.22%","--","--","+8.24%","+8.53%","--","--","+8.20%","04/30/2025","+7.35%","--","--","+8.29%","+7.39%","--","--","+8.18%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"XCNY","SPDR S&P Emerging Markets ex-China ETF","ETF","--","--","--","No","0.15%","0.15%","09/04/2024","--","--","--","-2.92%","--","--","--","-2.91%","04/30/2025","--","--","--","-5.94%","--","--","--","-3.77%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"INTF","iShares International Equity Factor ETF","ETF","--","--","--","No","0.16%","0.16%","04/28/2015","+15.10%","+11.83%","+5.74%","+5.66%","+15.12%","+12.07%","+5.62%","+5.62%","04/30/2025","+7.05%","+12.55%","--","+5.24%","+6.94%","+12.62%","--","+5.20%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","4 stars out of 435 funds","04/30/2025"
"XCEM","Columbia EM Core ex-China ETF","ETF","--","--","--","No","0.16%","0.16%","09/01/2015","+2.38%","+9.80%","--","+7.48%","+2.45%","+10.00%","--","+7.14%","04/30/2025","-2.39%","+11.24%","--","+7.19%","-2.42%","+11.41%","--","+6.91%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","3 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"VYMI","Vanguard International High Dividend Yield Index Fund ETF Shares","ETF","--","--","--","No","0.17%","0.17%","02/25/2016","+17.11%","+14.44%","--","+8.98%","+17.06%","+14.55%","--","+8.97%","04/30/2025","+12.04%","+15.19%","--","+8.70%","+12.22%","+15.28%","--","+8.73%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","3 stars out of 337 funds","4 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"EMXF","iShares ESG Advanced MSCI EM ETF","ETF","--","--","--","Yes","0.17%","0.17%","10/06/2020","+12.67%","--","--","+4.15%","+11.99%","--","--","+4.12%","04/30/2025","+10.09%","--","--","+3.88%","+10.55%","--","--","+3.97%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"LDEM","iShares® ESG MSCI EM Leaders ETF","ETF","--","--","--","Yes","0.17%","0.17%","02/05/2020","+15.17%","+5.83%","--","+2.03%","+15.55%","+5.89%","--","+1.41%","04/30/2025","+13.69%","+7.58%","--","+1.84%","+14.07%","+7.70%","--","+1.21%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","2 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"WRND","NYLI Global Equity R&D Leaders ETF","ETF","--","--","--","No","0.18%","0.20%","02/08/2022","+8.13%","--","--","+7.05%","+1.35%","--","--","+4.66%","04/30/2025","+4.25%","--","--","+7.27%","+9.63%","--","--","+8.87%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","4 stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DFAI","Dimensional International Core Equity Market ETF","ETF","--","--","--","No","0.18%","0.18%","11/17/2020","+13.27%","--","--","+8.51%","+13.64%","--","--","+8.48%","04/30/2025","+5.87%","--","--","+7.61%","+6.26%","--","--","+7.76%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"FIDI","Fidelity International High Dividend ETF","ETF","--","--","--","No","0.18%","0.18%","01/16/2018","+15.09%","+12.60%","--","+3.10%","+15.82%","+12.67%","--","+2.89%","04/30/2025","+7.88%","+12.39%","--","+2.39%","+8.20%","+12.58%","--","+2.23%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","2 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"QLVE","FlexShares Emerging Markets Quality Low Volatility Index Fund","ETF","--","--","--","No","0.18%","0.19%","07/15/2019","+11.52%","+6.21%","--","+3.18%","+10.56%","+6.16%","--","+2.95%","04/30/2025","+9.13%","+7.42%","--","+2.85%","+9.09%","+7.42%","--","+2.84%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","4 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"FDEV","Fidelity International Multifactor ETF","ETF","--","--","--","No","0.18%","0.18%","02/26/2019","+18.06%","+9.15%","--","+6.40%","+18.46%","+9.29%","--","+6.39%","04/30/2025","+9.49%","+9.03%","--","+5.54%","+9.97%","+9.38%","--","+5.64%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","3 stars out of 657 funds","2 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"CVIE","Calvert International Responsible Index ETF","ETF","--","--","--","Yes","0.18%","0.18%","01/30/2023","+12.30%","--","--","+11.05%","+13.12%","--","--","+11.28%","04/30/2025","+4.16%","--","--","+9.21%","+4.50%","--","--","+9.55%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"GXUS","Goldman Sachs MarketBeta(R) Total International Equity ETF","ETF","--","--","--","No","0.18%","0.18%","05/31/2023","+11.31%","--","--","+12.52%","-3.28%","--","--","+4.48%","04/30/2025","+5.67%","--","--","+10.99%","+9.14%","--","--","+13.31%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"FLTW","Franklin FTSE Taiwan ETF","ETF","--","--","--","No","0.19%","0.19%","11/02/2017","+3.18%","+13.06%","--","+9.67%","+4.14%","+13.55%","--","+9.58%","04/30/2025","-1.01%","+15.77%","--","+9.54%","+0.47%","+16.16%","--","+9.69%","03/31/2025","China Region","5 stars out of 83 funds","5 stars out of 83 funds","5 stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"BBAX","JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF","ETF","--","--","--","No","0.19%","0.19%","08/07/2018","+11.82%","+8.79%","--","+4.36%","+12.08%","+8.93%","--","+4.07%","04/30/2025","+5.28%","+10.30%","--","+3.93%","+5.21%","+9.93%","--","+3.60%","03/31/2025","Pacific/Asia ex-Japan Stk","4 stars out of 38 funds","3 stars out of 38 funds","4 stars out of 37 funds","-- stars out of 27 funds","04/30/2025"
"BBJP","JPMorgan BetaBuilders Japan ETF","ETF","--","--","--","No","0.19%","0.19%","06/15/2018","+8.75%","+8.92%","--","+4.61%","+8.75%","+8.92%","--","+4.65%","04/30/2025","-1.33%","+8.97%","--","+4.01%","-1.42%","+8.96%","--","+4.07%","03/31/2025","Japan Stock","3 stars out of 36 funds","2 stars out of 36 funds","3 stars out of 31 funds","-- stars out of 23 funds","04/30/2025"
"DIEM","Franklin Emerging Market Core Dividend Tilt Index ETF","ETF","--","--","--","No","0.19%","0.19%","06/01/2016","+10.90%","+7.19%","--","+4.78%","+11.16%","+7.57%","--","+4.46%","04/30/2025","+10.79%","+8.80%","--","+4.71%","+11.19%","+9.12%","--","+4.50%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","4 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"FLAX","Franklin FTSE Asia ex Japan ETF","ETF","--","--","--","No","0.19%","0.19%","02/06/2018","+9.59%","+5.79%","--","+2.27%","+10.09%","+6.14%","--","+2.59%","04/30/2025","+10.74%","+7.49%","--","+2.21%","+10.99%","+7.68%","--","+2.64%","03/31/2025","Pacific/Asia ex-Japan Stk","3 stars out of 38 funds","3 stars out of 38 funds","3 stars out of 37 funds","-- stars out of 27 funds","04/30/2025"
"FLCH","Franklin FTSE China ETF","ETF","--","--","--","No","0.19%","0.19%","11/02/2017","+25.22%","-0.73%","--","-0.72%","+26.05%","-0.59%","--","-1.05%","04/30/2025","+39.30%","+1.34%","--","-0.16%","+39.32%","+1.52%","--","-0.32%","03/31/2025","China Region","3 stars out of 83 funds","4 stars out of 83 funds","3 stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"FLIN","Franklin FTSE India ETF","ETF","--","--","--","No","0.19%","0.19%","02/06/2018","+3.74%","+17.06%","--","+8.04%","+3.65%","+17.89%","--","+7.89%","04/30/2025","+2.52%","+19.68%","--","+7.56%","+1.51%","+19.90%","--","+7.40%","03/31/2025","India Equity","3 stars out of 24 funds","3 stars out of 24 funds","3 stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"FLLA","Franklin FTSE Latin America ETF","ETF","--","--","--","No","0.19%","0.19%","10/09/2018","-3.41%","+11.76%","--","+1.68%","-2.99%","+11.63%","--","+2.09%","04/30/2025","-12.60%","+11.69%","--","+0.74%","-12.42%","+11.61%","--","+1.23%","03/31/2025","Latin America Stock","3 stars out of 16 funds","3 stars out of 16 funds","3 stars out of 15 funds","-- stars out of 11 funds","04/30/2025"
"FLBR","Franklin FTSE Brazil ETF","ETF","--","--","--","No","0.19%","0.19%","11/03/2017","-2.99%","+10.34%","--","+1.40%","-3.12%","+10.36%","--","+1.22%","04/30/2025","-10.19%","+10.74%","--","+0.93%","-9.67%","+10.91%","--","+0.86%","03/31/2025","Latin America Stock","2 stars out of 16 funds","3 stars out of 16 funds","2 stars out of 15 funds","-- stars out of 11 funds","04/30/2025"
"BBCA","JPMorgan BetaBuilders Canada ETF","ETF","--","--","--","No","0.19%","0.19%","08/07/2018","+18.83%","+14.90%","--","+8.79%","+18.52%","+14.79%","--","+8.95%","04/30/2025","+9.61%","+16.29%","--","+8.18%","+9.66%","+16.32%","--","+8.40%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLMX","Franklin FTSE Mexico ETF","ETF","--","--","--","No","0.19%","0.19%","11/03/2017","-10.28%","+17.12%","--","+4.60%","-9.99%","+17.31%","--","+4.51%","04/30/2025","-23.44%","+15.25%","--","+2.96%","-24.14%","+15.41%","--","+2.88%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FLRU","Franklin FTSE Russia ETF","ETF","--","--","--","No","0.19%","0.19%","02/06/2018","0.00%","-77.86%","--","-64.93%","0.00%","-13.33%","--","-9.89%","04/30/2025","0.00%","-77.38%","--","-65.35%","0.00%","-11.27%","--","-10.00%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"XIDV","Franklin International Dividend Multiplier Index ETF","ETF","--","--","--","No","0.19%","0.19%","01/21/2025","--","--","--","+16.23%","--","--","--","+16.10%","04/30/2025","--","--","--","+9.57%","--","--","--","+10.11%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"HFXI","NYLI FTSE International Equity Currency Neutral ETF","ETF","--","--","--","No","0.20%","0.20%","07/22/2015","+8.82%","+12.47%","--","+6.85%","+9.31%","+12.74%","--","+6.83%","04/30/2025","+4.56%","+13.29%","--","+6.65%","+5.19%","+13.70%","--","+6.71%","03/31/2025","Foreign Large Blend","5 stars out of 657 funds","4 stars out of 657 funds","5 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"CRBN","iShares MSCI ACWI Low Carbon Target ETF","ETF","--","--","--","Yes","0.20%","0.20%","12/08/2014","+13.96%","+13.33%","+8.95%","+9.05%","+13.46%","+13.34%","+8.76%","+9.05%","04/30/2025","+8.60%","+15.44%","+9.17%","+9.03%","+8.61%","+15.42%","+9.14%","+9.07%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","4 stars out of 312 funds","4 stars out of 293 funds","4 stars out of 199 funds","04/30/2025"
"GLOF","iShares Global Equity Factor ETF","ETF","--","--","--","No","0.20%","0.20%","04/28/2015","+12.06%","+13.14%","+8.02%","+7.83%","+12.02%","+13.17%","+7.84%","+7.84%","04/30/2025","+6.60%","+14.87%","--","+7.72%","+6.33%","+14.93%","--","+7.70%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","4 stars out of 312 funds","4 stars out of 293 funds","3 stars out of 199 funds","04/30/2025"
"ACWV","iShares MSCI Global Min Vol Factor ETF","ETF","--","--","--","No","0.20%","0.20%","10/18/2011","+17.17%","+8.53%","+7.26%","+8.86%","+17.12%","+8.60%","+7.24%","+8.54%","04/30/2025","+13.17%","+9.95%","+7.38%","+8.87%","+13.16%","+10.04%","+7.36%","+8.55%","03/31/2025","Global Large-Stock Blend","3 stars out of 312 funds","3 stars out of 312 funds","2 stars out of 293 funds","3 stars out of 199 funds","04/30/2025"
"EFAV","iShares MSCI EAFE Min Vol Factor ETF","ETF","--","--","--","No","0.20%","0.20%","10/18/2011","+22.71%","+7.62%","+4.91%","+6.73%","+22.81%","+7.78%","+4.94%","+6.55%","04/30/2025","+13.46%","+7.26%","+4.68%","+6.32%","+13.54%","+7.37%","+4.68%","+6.15%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","4 stars out of 657 funds","2 stars out of 620 funds","4 stars out of 435 funds","04/30/2025"
"EFAX","SPDR® MSCI EAFE Fossil Fuel Reserves Free ETF","ETF","--","--","--","No","0.20%","0.20%","10/24/2016","+14.47%","+11.05%","--","+7.52%","+15.42%","+11.25%","--","+7.53%","04/30/2025","+5.59%","+11.40%","--","+6.95%","+6.08%","+11.73%","--","+7.03%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","4 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"GSID","Goldman Sachs MarketBeta International Equity ETF","ETF","--","--","--","No","0.20%","0.25%","05/12/2020","+12.23%","--","--","+11.45%","+12.84%","--","--","+11.40%","04/30/2025","+4.72%","--","--","+10.65%","+5.35%","--","--","+10.80%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"LCTD","BlackRock World ex U.S. Carbon Transition Readiness ETF","ETF","--","--","--","Yes","0.20%","0.35%","04/06/2021","+12.18%","--","--","+4.16%","+11.94%","--","--","+4.12%","04/30/2025","+5.07%","--","--","+3.24%","+4.83%","--","--","+3.19%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","2 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"AQLT","iShares MSCI Global Quality Factor ETF","ETF","--","--","--","No","0.20%","0.21%","12/11/2024","--","--","--","-6.60%","--","--","--","-6.65%","04/30/2025","--","--","--","-7.17%","--","--","--","-6.90%","03/31/2025","Global Large-Stock Growth","-- stars out of 325 funds","-- stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"DAX","Global X DAX Germany ETF","ETF","--","--","--","No","0.20%","0.20%","10/22/2014","+32.57%","+15.78%","+6.39%","+7.27%","+33.51%","+15.73%","+6.52%","+7.20%","04/30/2025","+19.08%","+16.27%","+5.67%","+6.66%","+19.80%","+16.63%","+5.76%","+6.64%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"ESGD","iShares ESG Aware MSCI EAFE ETF","ETF","--","--","--","Yes","0.21%","0.21%","06/28/2016","+13.26%","+11.41%","--","+8.57%","+12.93%","+11.50%","--","+8.05%","04/30/2025","+5.57%","+11.85%","--","+8.16%","+5.46%","+11.92%","--","+7.68%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","4 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"AVDE","Avantis International Equity ETF","ETF","--","--","--","No","0.23%","0.23%","09/24/2019","+15.19%","+13.01%","--","+8.55%","+15.04%","+12.89%","--","+8.57%","04/30/2025","+7.48%","+13.77%","--","+7.86%","+7.36%","+13.78%","--","+7.92%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","3 stars out of 657 funds","5 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"AVSD","Avantis Responsible International Equity ETF","ETF","--","--","--","Yes","0.23%","0.23%","03/15/2022","+18.27%","--","--","+9.76%","+18.01%","--","--","+9.74%","04/30/2025","+8.81%","--","--","+8.28%","+8.77%","--","--","+8.33%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"ISCF","iShares MSCI Intl Small-Cap Multifactor ETF","ETF","--","--","--","No","0.23%","0.23%","04/28/2015","+15.34%","+10.58%","+6.64%","+6.58%","+15.36%","+10.68%","+6.60%","+6.60%","04/30/2025","+6.18%","+11.67%","--","+6.05%","+6.53%","+11.89%","--","+6.09%","03/31/2025","Foreign Small/Mid Blend","4 stars out of 88 funds","3 stars out of 88 funds","3 stars out of 80 funds","5 stars out of 50 funds","04/30/2025"
"DFIC","Dimensional International Core Equity 2 ETF","ETF","--","--","--","No","0.23%","0.23%","03/23/2022","+13.84%","--","--","+7.33%","+14.28%","--","--","+7.30%","04/30/2025","+6.43%","--","--","+5.94%","+6.92%","--","--","+6.13%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"AVGE","Avantis All Equity Markets ETF","ETF","--","--","--","No","0.23%","0.25%","09/27/2022","+7.44%","--","--","+16.30%","+7.33%","--","--","+16.30%","04/30/2025","+4.18%","--","--","+17.36%","+3.98%","--","--","+17.32%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"JIRE","JPMorgan International Research Enhanced Equity ETF","ETF","--","--","--","No","0.24%","0.30%","10/28/1992","+12.05%","+12.00%","+5.56%","+6.25%","+10.03%","+11.63%","+5.39%","+6.20%","04/30/2025","+4.75%","+12.45%","+5.53%","+6.14%","+4.82%","+12.49%","+5.56%","+6.15%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"KEMX","KraneShares MSCI Emerging Markets ex China Index ETF","ETF","--","--","--","No","0.24%","0.59%","04/12/2019","+3.99%","+10.74%","--","+5.54%","+4.05%","+11.04%","--","+5.22%","04/30/2025","-1.51%","+12.07%","--","+5.00%","-1.85%","+11.95%","--","+4.85%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","3 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"URTH","iShares MSCI World ETF","ETF","--","--","--","No","0.24%","0.24%","01/10/2012","+12.52%","+14.14%","+9.58%","+10.88%","+12.53%","+14.16%","+9.58%","+10.88%","04/30/2025","+7.33%","+16.36%","+9.75%","+10.88%","+7.30%","+16.36%","+9.69%","+10.89%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","4 stars out of 312 funds","4 stars out of 293 funds","4 stars out of 199 funds","04/30/2025"
"DEEF","Xtrackers FTSE Developed ex US Multifactor ETF","ETF","--","--","--","No","0.24%","0.24%","11/24/2015","+14.65%","+10.07%","--","+6.14%","+14.15%","+9.96%","--","+5.99%","04/30/2025","+5.51%","+10.44%","--","+5.52%","+5.57%","+10.74%","--","+5.53%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","2 stars out of 337 funds","2 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
